Date,Open,High,Low,Close
1979-12-17,269.35,269.35,269.35,269.35
1979-12-18,269.5,269.5,269.5,269.5
1979-12-19,269.42,269.42,269.42,269.42
1979-12-20,265.27,265.27,265.27,265.27
1979-12-21,269.36,269.36,269.36,269.36
1979-12-24,270.08,270.08,270.08,270.08
1979-12-26,269.96,269.96,269.96,269.96
1979-12-27,272.59,272.59,272.59,272.59
1979-12-28,271.81,271.81,271.81,271.81
1979-12-31,271.53,271.53,271.53,271.53
1980-01-02,271.4,271.4,271.4,271.4
1980-01-03,271.72,271.72,271.72,271.72
1980-01-04,267.38,267.38,267.38,267.38
1980-01-07,264.37,264.37,264.37,264.37
1980-01-08,267.27,267.27,267.27,267.27
1980-01-09,267.6,267.6,267.6,267.6
1980-01-10,267.85,267.85,267.85,267.85
1980-01-11,267.44,267.44,267.44,267.44
1980-01-14,267.95,267.95,267.95,267.95
1980-01-15,270.49,270.49,270.49,270.49
1980-01-16,269.81,269.81,269.81,269.81
1980-01-17,271.44,271.44,271.44,271.44
1980-01-18,271.16,271.16,271.16,271.16
1980-01-21,271.77,271.77,271.77,271.77
1980-01-22,269.64,269.64,269.64,269.64
1980-01-23,267.49,267.49,267.49,267.49
1980-01-24,269.54,269.54,269.54,269.54
1980-01-25,269.09,269.09,269.09,269.09
1980-01-28,269.41,269.41,269.41,269.41
1980-01-29,268.73,268.73,268.73,268.73
1980-01-30,268.86,268.86,268.86,268.86
1980-01-31,267.68,267.68,267.68,267.68
1980-02-01,268.85,268.85,268.85,268.85
1980-02-04,269.04,269.04,269.04,269.04
1980-02-05,268.73,268.73,268.73,268.73
1980-02-06,270.2,270.2,270.2,270.2
1980-02-07,269.32,269.32,269.32,269.32
1980-02-08,270.95,270.95,270.95,270.95
1980-02-11,270.72,270.72,270.72,270.72
1980-02-13,272.1,272.1,272.1,272.1
1980-02-14,273.42,273.42,273.42,273.42
1980-02-15,272.35,272.35,272.35,272.35
1980-02-19,273.75,273.75,273.75,273.75
1980-02-20,274.5,274.5,274.5,274.5
1980-02-21,274.7,274.7,274.7,274.7
1980-02-22,274.35,274.35,274.35,274.35
1980-02-25,274.96,274.96,274.96,274.96
1980-02-26,274.35,274.35,274.35,274.35
1980-02-27,275.63,275.63,275.63,275.63
1980-02-28,274.66,274.66,274.66,274.66
1980-02-29,276.16,276.16,276.16,276.16
1980-03-03,271.11,271.11,271.11,271.11
1980-03-04,268.34,268.34,268.34,268.34
1980-03-05,269.2,269.2,269.2,269.2
1980-03-06,269.55,269.55,269.55,269.55
1980-03-07,269.13,269.13,269.13,269.13
1980-03-10,267.19,267.19,267.19,267.19
1980-03-11,266.16,266.16,266.16,266.16
1980-03-12,267.05,267.05,267.05,267.05
