Date,Open,High,Low,Close
2001-11-23,1.5997,1.6022,1.5967,1.6001
2001-11-26,1.5993,1.6021,1.5981,1.6
2001-11-27,1.5994,1.6003,1.5919,1.594
2001-11-28,1.5925,1.5952,1.584,1.5852
2001-11-30,1.5792,1.5805,1.5722,1.5735
2001-12-03,1.5736,1.5782,1.573,1.5771
2001-12-04,1.5777,1.5785,1.5702,1.5718
2001-12-05,1.5743,1.5758,1.5708,1.5755
2001-12-06,1.5751,1.5781,1.5714,1.5742
2001-12-07,1.574,1.5784,1.5722,1.5757
2001-12-10,1.5764,1.58,1.5749,1.5791
2001-12-11,1.5788,1.5803,1.5732,1.5739
2001-12-12,1.5727,1.5738,1.565,1.5672
2001-12-13,1.5665,1.5707,1.5657,1.5707
2001-12-14,1.5709,1.5709,1.5603,1.5622
2001-12-17,1.5597,1.5681,1.5585,1.5681
2001-12-18,1.5675,1.5754,1.5662,1.574
2001-12-19,1.5747,1.5779,1.5726,1.5759
2001-12-20,1.5752,1.5801,1.5737,1.5791
2001-12-21,1.5791,1.5862,1.5786,1.5857
2001-12-24,1.5855,1.6053,1.5851,1.5942
2001-12-25,1.5942,1.5964,1.5937,1.5951
2001-12-26,1.5949,1.6022,1.5942,1.6017
2001-12-27,1.5996,1.6041,1.5953,1.5984
2001-12-28,1.5997,1.6,1.5906,1.5924
2001-12-31,1.5897,1.5977,1.5888,1.5918
2002-01-02,1.593,1.5997,1.5926,1.5989
2002-01-03,1.5968,1.5987,1.5921,1.5987
2002-01-04,1.5976,1.5996,1.595,1.5962
2002-01-07,1.5954,1.6004,1.5937,1.6003
2002-01-08,1.5985,1.6034,1.5951,1.5952
2002-01-09,1.595,1.5978,1.5942,1.5971
2002-01-10,1.5976,1.6048,1.5967,1.5991
2002-01-11,1.5976,1.6017,1.5955,1.5969
2002-01-14,1.5967,1.5979,1.5945,1.595
2002-01-15,1.5929,1.5945,1.5872,1.5897
2002-01-16,1.5893,1.5999,1.5884,1.5999
2002-01-17,1.5995,1.6158,1.5984,1.611
2002-01-18,1.6138,1.616,1.6106,1.6149
2002-01-21,1.618,1.6192,1.6119,1.6122
2002-01-22,1.6145,1.6145,1.6074,1.6093
2002-01-23,1.6089,1.6128,1.602,1.6023
2002-01-24,1.6018,1.6044,1.6003,1.6032
2002-01-25,1.6041,1.6127,1.6032,1.611
2002-01-28,1.6132,1.614,1.5999,1.5999
2002-01-29,1.5997,1.6003,1.5853,1.5959
2002-01-30,1.5962,1.5962,1.5862,1.5882
2002-01-31,1.5887,1.5959,1.5838,1.587
2002-02-01,1.5895,1.5937,1.5884,1.5909
2002-02-04,1.5929,1.598,1.5906,1.5973
2002-02-05,1.5979,1.6006,1.5968,1.5977
2002-02-06,1.598,1.6059,1.5973,1.6059
2002-02-07,1.6069,1.6093,1.5984,1.6006
2002-02-08,1.5998,1.6026,1.5946,1.599
2002-02-11,1.598,1.5983,1.5886,1.591
2002-02-12,1.5912,1.5952,1.5893,1.5919
2002-02-13,1.5924,1.5958,1.5898,1.5924
2002-02-14,1.5918,1.5941,1.5878,1.5922
2002-02-15,1.5925,1.5939,1.5886,1.5899
2002-02-18,1.59,1.5936,1.5899,1.5934
2002-02-19,1.5932,1.5949,1.5869,1.5899
2002-02-20,1.5901,1.5916,1.5882,1.5896
2002-02-21,1.5894,1.5925,1.5874,1.5909
2002-02-22,1.5927,1.5978,1.5907,1.5976
2002-02-25,1.5982,1.6029,1.5963,1.6015
2002-02-26,1.6056,1.6126,1.6037,1.6104
2002-02-27,1.6083,1.6107,1.6063,1.6089
2002-02-28,1.6078,1.6099,1.601,1.601
2002-03-01,1.6036,1.6036,1.5921,1.594
2002-03-04,1.5934,1.594,1.588,1.5909
2002-03-05,1.5926,1.5931,1.5881,1.5881
2002-03-06,1.5879,1.5893,1.5811,1.582
2002-03-07,1.581,1.584,1.5776,1.5837
2002-03-08,1.5848,1.5871,1.583,1.5869
2002-03-11,1.5857,1.5888,1.5824,1.5824
2002-03-12,1.5835,1.5873,1.5832,1.5869
2002-03-13,1.5862,1.5984,1.5854,1.5958
2002-03-14,1.5963,1.5982,1.5909,1.5909
2002-03-15,1.5933,1.5947,1.5839,1.5843
2002-03-18,1.5851,1.5882,1.5839,1.5841
2002-03-19,1.5844,1.5873,1.5805,1.5857
2002-03-20,1.5853,1.5861,1.5784,1.5803
2002-03-21,1.5788,1.5827,1.5779,1.5783
2002-03-22,1.5777,1.5798,1.5745,1.5774
2002-03-25,1.5785,1.5863,1.5775,1.5845
2002-03-26,1.5823,1.5951,1.5823,1.5919
2002-03-27,1.5899,1.5969,1.5871,1.5958
2002-03-28,1.5942,1.5981,1.5921,1.5932
2002-03-29,1.5929,1.5971,1.5924,1.596
2002-04-01,1.5957,1.6024,1.5948,1.5994
2002-04-02,1.5977,1.6016,1.592,1.5935
2002-04-03,1.5933,1.5954,1.5883,1.5896
2002-04-04,1.5901,1.5959,1.5894,1.5951
2002-04-05,1.594,1.5961,1.5878,1.5894
2002-04-08,1.5898,1.5973,1.5885,1.5959
2002-04-09,1.5968,1.5989,1.5929,1.5965
2002-04-10,1.5957,1.596,1.5913,1.5922
2002-04-11,1.5923,1.5943,1.5872,1.589
2002-04-12,1.589,1.5899,1.5861,1.5884
2002-04-15,1.5869,1.592,1.5852,1.5869
2002-04-16,1.5865,1.5893,1.5798,1.5824
2002-04-17,1.582,1.5828,1.5721,1.5746
2002-04-18,1.5744,1.5779,1.5725,1.5759
2002-04-19,1.5745,1.5772,1.5715,1.5724
2002-04-22,1.5733,1.5759,1.5709,1.5713
2002-04-23,1.5713,1.5756,1.5704,1.5741
2002-04-24,1.5733,1.5756,1.5665,1.5686
2002-04-25,1.5691,1.5691,1.5629,1.5661
2002-04-26,1.5661,1.5673,1.5615,1.5623
2002-04-29,1.562,1.5678,1.5608,1.5676
2002-04-30,1.5671,1.5708,1.5652,1.569
2002-05-01,1.5678,1.5687,1.5579,1.5604
2002-05-02,1.5609,1.5643,1.5591,1.5632
2002-05-03,1.5636,1.5664,1.5586,1.5635
2002-05-06,1.5634,1.5693,1.5627,1.569
2002-05-07,1.5675,1.5722,1.5658,1.5682
2002-05-08,1.5682,1.5728,1.5637,1.571
2002-05-09,1.5705,1.5726,1.5658,1.5658
2002-05-10,1.5652,1.5669,1.5594,1.5594
2002-05-13,1.5576,1.56,1.5549,1.5559
2002-05-14,1.5551,1.5627,1.5544,1.5589
2002-05-15,1.5589,1.5607,1.5535,1.5576
2002-05-16,1.5573,1.558,1.5529,1.5539
2002-05-17,1.5555,1.5561,1.5424,1.5469
2002-05-20,1.5458,1.5471,1.54,1.5423
2002-05-21,1.5395,1.5396,1.5358,1.5379
2002-05-22,1.5384,1.5404,1.5334,1.5334
2002-05-23,1.5339,1.539,1.5329,1.5346
2002-05-24,1.5359,1.5422,1.5333,1.5339
2002-05-28,1.5347,1.5368,1.5305,1.5323
2002-05-29,1.5327,1.5349,1.5292,1.5345
2002-05-30,1.5351,1.5381,1.5328,1.535
2002-05-31,1.535,1.5356,1.5266,1.5282
2002-06-03,1.5338,1.5395,1.5273,1.5278
2002-06-04,1.5281,1.5314,1.5252,1.5314
2002-06-05,1.5319,1.5381,1.5296,1.5335
2002-06-06,1.5326,1.5348,1.5308,1.5338
2002-06-07,1.5333,1.534,1.5292,1.5335
2002-06-10,1.5335,1.541,1.5335,1.5402
2002-06-11,1.5403,1.5412,1.5363,1.537
2002-06-12,1.5372,1.5394,1.5353,1.5358
2002-06-13,1.5366,1.5403,1.5361,1.5399
2002-06-14,1.5406,1.553,1.5398,1.5466
2002-06-17,1.5479,1.5515,1.547,1.5487
2002-06-18,1.5474,1.548,1.5425,1.5454
2002-06-19,1.5451,1.5459,1.5383,1.5416
2002-06-20,1.5415,1.5421,1.5281,1.5288
2002-06-21,1.5293,1.5305,1.5187,1.5196
2002-06-24,1.5229,1.5245,1.5152,1.5214
2002-06-25,1.5223,1.5241,1.5159,1.5166
2002-06-26,1.515,1.5212,1.5084,1.5192
2002-06-27,1.5179,1.5196,1.5101,1.5128
2002-06-28,1.5122,1.5219,1.5042,1.5186
2002-07-01,1.5177,1.5202,1.5139,1.5176
2002-07-02,1.517,1.5298,1.5164,1.5253
2002-07-03,1.5283,1.5342,1.5262,1.5332
2002-07-04,1.5333,1.5356,1.5281,1.5281
2002-07-05,1.5299,1.5355,1.5231,1.5246
2002-07-08,1.5247,1.5262,1.5179,1.5239
2002-07-09,1.523,1.5266,1.5116,1.5132
2002-07-10,1.5157,1.5233,1.5117,1.5207
2002-07-11,1.5238,1.5261,1.5201,1.5232
2002-07-12,1.5255,1.5342,1.5228,1.5339
2002-07-15,1.5336,1.5401,1.5303,1.5387
2002-07-16,1.5401,1.5401,1.5331,1.5383
2002-07-17,1.5388,1.5442,1.5374,1.5399
2002-07-18,1.5439,1.546,1.5432,1.5454
2002-07-19,1.5436,1.5446,1.5332,1.5423
2002-07-22,1.5442,1.565,1.5427,1.565
2002-07-23,1.5655,1.5895,1.5655,1.5852
2002-07-24,1.5819,1.5938,1.5603,1.5607
2002-07-25,1.5664,1.5744,1.5633,1.5708
2002-07-26,1.569,1.5897,1.569,1.5877
2002-07-29,1.5851,1.5877,1.5701,1.5707
2002-07-30,1.5727,1.5764,1.5675,1.5753
2002-07-31,1.5753,1.5865,1.5715,1.585
2002-08-01,1.5858,1.593,1.5819,1.5923
2002-08-02,1.5908,1.592,1.5847,1.5847
2002-08-05,1.5857,1.5981,1.5813,1.5972
2002-08-06,1.5972,1.6048,1.5828,1.585
2002-08-07,1.5861,1.5903,1.5761,1.5777
2002-08-08,1.5787,1.5849,1.5718,1.5809
2002-08-09,1.5812,1.5818,1.571,1.5748
2002-08-12,1.5724,1.5772,1.5689,1.5739
2002-08-13,1.5749,1.5775,1.5626,1.5648
2002-08-14,1.5679,1.5684,1.5598,1.5643
2002-08-15,1.5646,1.5654,1.557,1.5609
2002-08-16,1.5608,1.563,1.5575,1.5601
2002-08-19,1.559,1.5743,1.5583,1.5734
2002-08-20,1.5737,1.5748,1.5662,1.5672
2002-08-21,1.5651,1.5708,1.5568,1.5577
2002-08-22,1.559,1.5616,1.5528,1.5616
2002-08-23,1.5598,1.5631,1.5554,1.5585
2002-08-26,1.5568,1.5607,1.5549,1.5565
2002-08-27,1.5572,1.5572,1.5507,1.5539
2002-08-28,1.5545,1.5606,1.5528,1.5595
2002-08-29,1.5609,1.564,1.5556,1.5593
2002-08-30,1.5598,1.5612,1.5567,1.5589
2002-09-02,1.5603,1.5604,1.5564,1.5571
2002-09-03,1.5571,1.5582,1.5515,1.5532
2002-09-04,1.5538,1.5698,1.552,1.5667
2002-09-05,1.5677,1.5734,1.566,1.5734
2002-09-06,1.5725,1.5744,1.5593,1.5596
2002-09-09,1.5598,1.5666,1.5592,1.5641
2002-09-10,1.5646,1.5739,1.5623,1.5725
2002-09-11,1.5732,1.5808,1.5714,1.58
2002-09-12,1.58,1.5884,1.5771,1.5877
2002-09-13,1.5869,1.5878,1.5803,1.5806
2002-09-16,1.5795,1.5839,1.5785,1.5823
2002-09-17,1.5814,1.5853,1.5774,1.5819
2002-09-18,1.5817,1.5863,1.5782,1.5787
2002-09-19,1.5786,1.5796,1.5713,1.5747
2002-09-20,1.5748,1.5781,1.5719,1.5736
2002-09-23,1.5738,1.5862,1.5726,1.5826
